Guideline Name,Name,Related Chemicals,Text,Implications,Lookup Key
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298589,tramadol,"<p>Avoid tramadol use because of potential for toxicity. If opioid use is warranted, consider a non-codeine opioid.</p>
",CYP2D6: Increased formation of O-desmethyltramadol (active metabolite) leading to higher risk of toxicity,CYP2D6=3.0
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298580,tramadol,"<p>Use tramadol label recommended age- or weight-specific dosing. If no response and opioid use is warranted, consider non-codeine opioid.</p>
",CYP2D6: Reduced O-desmethyltramadol (active metabolite) formation,CYP2D6=0.75
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298584,tramadol,"<p>Use tramadol label recommended age- or weight-specific dosing.</p>
",CYP2D6: Expected O-desmethyltramadol (active metabolite) formation,CYP2D6=1.75
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation Annotation PA166301329,tramadol,.,,CYP2D6=xN combinations
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298593,tramadol,"<p>Avoid tramadol use because of potential for toxicity. If opioid use is warranted, consider a non-codeine opioid.</p>
",CYP2D6: Increased formation of O-desmethyltramadol (active metabolite) leading to higher risk of toxicity,CYP2D6=≥3.25
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298586,tramadol,"<p>Use tramadol label recommended age- or weight-specific dosing.</p>
",CYP2D6: Expected O-desmethyltramadol (active metabolite) formation,CYP2D6=2.25
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298577,tramadol,"<p>No recommendation</p>
",CYP2D6: n/a,CYP2D6=n/a
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298590,tramadol,"<p>Avoid tramadol use because of potential for toxicity. If opioid use is warranted, consider a non-codeine opioid.</p>
",CYP2D6: Increased formation of O-desmethyltramadol (active metabolite) leading to higher risk of toxicity,CYP2D6=2.75
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298594,tramadol,"<p>Avoid tramadol use because of potential for toxicity. If opioid use is warranted, consider a non-codeine opioid.</p>
",CYP2D6: Increased formation of O-desmethyltramadol (active metabolite) leading to higher risk of toxicity,CYP2D6=≥3.5
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298581,tramadol,"<p>Use tramadol label recommended age- or weight-specific dosing. If no response and opioid use is warranted, consider non-codeine opioid.</p>
",CYP2D6: Reduced O-desmethyltramadol (active metabolite) formation,CYP2D6=1.0
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298591,tramadol,"<p>Avoid tramadol use because of potential for toxicity. If opioid use is warranted, consider a non-codeine opioid.</p>
",CYP2D6: Increased formation of O-desmethyltramadol (active metabolite) leading to higher risk of toxicity,CYP2D6=4.0
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298587,tramadol,"<p>Avoid tramadol use because of possibility of diminished analgesia. If opioid use is warranted, consider a non-codeine opioid.</p>
",CYP2D6: Greatly reduced O-desmethyltramadol (active metabolite) formation leading to diminished analgesia.,CYP2D6=0.0
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298578,tramadol,"<p>Use tramadol label recommended age- or weight-specific dosing. If no response and opioid use is warranted, consider non-codeine opioid.</p>
",CYP2D6: Reduced O-desmethyltramadol (active metabolite) formation,CYP2D6=0.25
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298595,tramadol,"<p>Avoid tramadol use because of potential for toxicity. If opioid use is warranted, consider a non-codeine opioid.</p>
",CYP2D6: Increased formation of O-desmethyltramadol (active metabolite) leading to higher risk of toxicity,CYP2D6=≥4.0
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298582,tramadol,"<p>Use tramadol label recommended age- or weight-specific dosing.</p>
",CYP2D6: Expected O-desmethyltramadol (active metabolite) formation,CYP2D6=1.25
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298588,tramadol,"<p>Avoid tramadol use because of potential for toxicity. If opioid use is warranted, consider a non-codeine opioid.</p>
",CYP2D6: Increased formation of O-desmethyltramadol (active metabolite) leading to higher risk of toxicity,CYP2D6=2.5
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298597,tramadol,"<p>Avoid tramadol use because of potential for toxicity. If opioid use is warranted, consider a non-codeine opioid.</p>
",CYP2D6: Increased formation of O-desmethyltramadol (active metabolite) leading to higher risk of toxicity,CYP2D6=≥5.0
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298579,tramadol,"<p>Use tramadol label recommended age- or weight-specific dosing. If no response and opioid use is warranted, consider non-codeine opioid.</p>
",CYP2D6: Reduced O-desmethyltramadol (active metabolite) formation,CYP2D6=0.5
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298592,tramadol,"<p>Avoid tramadol use because of potential for toxicity. If opioid use is warranted, consider a non-codeine opioid.</p>
",CYP2D6: Increased formation of O-desmethyltramadol (active metabolite) leading to higher risk of toxicity,CYP2D6=≥3.0
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298596,tramadol,"<p>Avoid tramadol use because of potential for toxicity. If opioid use is warranted, consider a non-codeine opioid.</p>
",CYP2D6: Increased formation of O-desmethyltramadol (active metabolite) leading to higher risk of toxicity,CYP2D6=≥3.75
Annotation of CPIC Guideline for tramadol and CYP2D6,Recommendation PA166298583,tramadol,"<p>Use tramadol label recommended age- or weight-specific dosing.</p>
",CYP2D6: Expected O-desmethyltramadol (active metabolite) formation,CYP2D6=1.5
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298739,trimipramine,"<p>Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended</p>
",CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=≥3.5; CYP2C19=Ultrarapid Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298770,trimipramine,"<p>Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=4.0; CYP2C19=Likely Poor Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298673,trimipramine,"<p>Avoid trimipramine use. If trimipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.</p>
",CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Normal metabolism of TCAs,CYP2D6=2.0; CYP2C19=Likely Poor Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298629,trimipramine,"<p>Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects,CYP2D6=0.25; CYP2C19=Likely Poor Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation Annotation PA166301448,trimipramine,.,,CYP2D6=xN combinations; CYP2C19=Rapid Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298726,trimipramine,"<p>Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate, or poor metabolism in combination with CYP2C19 ultrarapid, intermediate, or poor metabolism is strongly recommended</p>
",CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=≥3.0; CYP2C19=Rapid Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298660,trimipramine,"<p>Consider alternative drug not metabolized by CYP2C19; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.</p>
",CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Normal metabolism of TCAs,CYP2D6=2.25; CYP2C19=Ultrarapid Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298616,trimipramine,"<p>Initiate therapy with recommended starting dose.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.</p>
",CYP2C19: Normal metabolism of tertiary amines; CYP2D6: Normal metabolism of TCAs,CYP2D6=2.0; CYP2C19=Normal Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298713,trimipramine,"<p>Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=2.75; CYP2C19=Poor Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298695,trimipramine,"<p>Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=≥3.25; CYP2C19=Intermediate Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298700,trimipramine,"<p>Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=≥6.0; CYP2C19=Intermediate Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298792,trimipramine,"<p>Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.</p>
",CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: n/a,CYP2D6=n/a; CYP2C19=Rapid Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298603,trimipramine,"<p>Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain.</p>
",CYP2C19: Normal metabolism of tertiary amines; CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects,CYP2D6=0.25; CYP2C19=Normal Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298748,trimipramine,"<p>No recommendation</p>
",CYP2C19: n/a; CYP2D6: n/a,CYP2D6=n/a; CYP2C19=No Result
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298682,trimipramine,"<p>Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Greatly reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects,CYP2D6=0.0; CYP2C19=Poor Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298774,trimipramine,"<p>Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=≥4.0; CYP2C19=Likely Poor Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298677,trimipramine,"<p>Initiate therapy with recommended starting dose.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.</p>
",CYP2C19: n/a; CYP2D6: Normal metabolism of TCAs,CYP2D6=1.75; CYP2C19=No Result
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation Annotation PA166301444,trimipramine,.,,CYP2D6=xN combinations; CYP2C19=Likely Poor Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298761,trimipramine,"<p>Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=≥3.25; CYP2C19=Likely Intermediate Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298664,trimipramine,"<p>No recommendation</p>
",CYP2C19: n/a; CYP2D6: Normal metabolism of TCAs,CYP2D6=2.0; CYP2C19=Indeterminate
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298717,trimipramine,"<p>Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=≥3.5; CYP2C19=Poor Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298796,trimipramine,"<p>Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.</p>
",CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: n/a,CYP2D6=n/a; CYP2C19=Likely Poor Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298699,trimipramine,"<p>Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=≥5.0; CYP2C19=Intermediate Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298651,trimipramine,"<p>Consider alternative drug not metabolized by CYP2C19; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose.</p>
",CYP2C19: Increased metabolism of tertiary amines compared to normal metabolizers; Greater conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Normal metabolism of TCAs,CYP2D6=1.5; CYP2C19=Rapid Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298607,trimipramine,"<p>Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations
for conditions where lower initial doses are used, such as neuropathic pain. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Greatly reduced metabolism of tertiary amines compared to normal metabolizers; Decreased conversion of tertiary amines to secondary amines may affect response or side effects; CYP2D6: Reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects,CYP2D6=0.25; CYP2C19=Poor Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298704,trimipramine,"<p>Avoid trimipramine use; If trimipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment.</p>
",CYP2C19: Normal metabolism of tertiary amines; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=4.0; CYP2C19=Normal Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298686,trimipramine,"<p>Avoid trimipramine use. If a trimipramine is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.</p>
<h4 id=""other-considerations"">Other Considerations</h4>
<p>Patients may receive an initial low dose of a tricyclic, which is then increased over several days to the recommended steady-state dose. The starting dose in this guideline refers to the recommended steady-state dose. Dosing recommendations only apply to higher initial doses of TCAs for treatment of conditions such as depression. See other considerations for dosing recommendations for conditions where lower initial doses are used, such as neuropathic pain. Utilizing therapeutic drug monitoring if a tricyclic is prescribed to a patient with CYP2D6 ultrarapid, intermediate or poor metabolism in combination with CYP2C19 ultrarapid, intermediate or poor metabolism is strongly recommended.</p>
",CYP2C19: Reduced metabolism of tertiary amines compared to normal metabolizers; CYP2D6: Greatly reduced metabolism of TCAs to less active compounds compared to normal metabolizers; Higher plasma concentrations of active drug will increase the probability of side effects,CYP2D6=0.0; CYP2C19=Likely Intermediate Metabolizer
"Annotation of CPIC Guideline for trimipramine and CYP2C19, CYP2D6",Recommendation PA166298783,trimipramine,"<p>Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.</p>
",CYP2C19: n/a; CYP2D6: Increased metabolism of TCAs to less active compounds compared to normal metabolizers; Lower plasma concentrations of active drug will increase probability of pharmacotherapy failure,CYP2D6=≥3.25; CYP2C19=No Result
